"unique","age","lactation","disease","presence"
"K111-P110",3.6,"2","da",0
"K111-P117",3.2,"2","mf",0
"K111-P117",3.2,"2","da",0
"K111-P120",3.1,"2","mf",0
"K111-P120",3.1,"2","da",0
"K111-P132",3.3,"2","mf",0
"K111-P132",3.3,"2","da",0
"K111-P135",3.3,"2","mf",0
"K111-P135",3.3,"2","da",0
"K111-P146",6,"5","mf",0
"K111-P146",6,"5","da",0
"K111-P151",2.3,"1","mf",0
"K111-P151",2.3,"1","da",0
"K111-P158",5.1,"4","mf",0
"K111-P158",5.1,"4","da",0
"K111-P170",2.2,"1","mf",0
"K111-P170",2.2,"1","da",0
"K111-P177",2.3,"1","mf",0
"K111-P177",2.3,"1","da",0
"K111-P182",2.4,"1","mf",0
"K111-P182",2.4,"1","da",0
"K111-P194",2.1,"1","mf",0
"K111-P194",2.1,"1","da",0
"K111-P196",2.4,"1","mf",0
"K111-P196",2.4,"1","da",0
"K111-P197",2,"1","mf",0
"K111-P197",2,"1","da",0
"K111-P20",7.5,"5","mf",0
"K111-P20",7.5,"5","da",0
"K111-P95",4.7,"3","mf",0
"K111-P95",4.7,"3","da",0
"K112-P10",7.9,"5","mf",0
"K112-P10",7.9,"5","da",0
"K112-P132",5.1,"3","mf",0
"K112-P132",5.1,"3","da",0
"K112-P135",4.6,"3","mf",0
"K112-P135",4.6,"3","da",0
"K112-P179",6.8,"4","mf",0
"K112-P179",6.8,"4","da",0
"K112-P192",4.9,"3","mf",0
"K112-P192",4.9,"3","da",1
"K112-P229",6.1,"4","mf",0
"K112-P229",6.1,"4","da",0
"K112-P233",3.3,"2","mf",0
"K112-P233",3.3,"2","da",0
"K112-P234",3.6,"2","mf",0
"K112-P234",3.6,"2","da",0
"K112-P253",3.1,"2","mf",0
"K112-P253",3.1,"2","da",0
"K112-P286",2.1,"1","mf",0
"K112-P286",2.1,"1","da",0
"K112-P292",2.3,"1","mf",0
"K112-P292",2.3,"1","da",0
"K112-P306",3.6,"2","mf",0
"K112-P306",3.6,"2","da",0
"K112-P307",2,"1","mf",0
"K112-P307",2,"1","da",0
"K112-P308",2,"1","mf",0
"K112-P308",2,"1","da",0
"K112-P319",6.9,"6","mf",0
"K112-P319",6.9,"6","da",0
"K112-P321",5.6,"4","mf",0
"K112-P321",5.6,"4","da",0
"K112-P421",4.9,"4","mf",0
"K112-P421",4.9,"4","da",0
"K112-P64",6.3,"5","mf",0
"K112-P64",6.3,"5","da",0
"K113-P327",8.6,"6","mf",0
"K113-P327",8.6,"6","da",0
"K113-P366",7.8,"6","mf",0
"K113-P366",7.8,"6","da",0
"K113-P407",6.4,"5","mf",0
"K113-P407",6.4,"5","da",0
"K113-P409",7.2,"6","mf",1
"K113-P409",7.2,"6","da",0
"K113-P527",5,"4","mf",0
"K113-P527",5,"4","da",0
"K113-P533",6.5,"5","mf",0
"K113-P533",6.5,"5","da",0
"K113-P555",3.6,"2","mf",0
"K113-P555",3.6,"2","da",0
"K113-P567",5.9,"4","mf",0
"K113-P567",5.9,"4","da",0
"K113-P577",3.4,"2","mf",0
"K113-P577",3.4,"2","da",0
"K113-P578",3.4,"2","mf",0
"K113-P578",3.4,"2","da",0
"K113-P584",3.2,"2","mf",0
"K113-P584",3.2,"2","da",0
"K113-P585",3.1,"2","mf",0
"K113-P585",3.1,"2","da",0
"K113-P593",2.5,"1","mf",0
"K113-P593",2.5,"1","da",0
"K113-P619",2.1,"1","mf",0
"K113-P619",2.1,"1","da",0
"K113-P620",2.4,"1","mf",0
"K113-P620",2.4,"1","da",0
"K113-P638",2,"1","mf",0
"K113-P638",2,"1","da",0
"K113-P650",3.4,"2","mf",0
"K113-P650",3.4,"2","da",0
"K113-P669",2.5,"1","mf",0
"K113-P669",2.5,"1","da",0
"K113-P676",2.7,"1","mf",0
"K113-P676",2.7,"1","da",0
"K114-P115",2.1,"1","mf",0
"K114-P115",2.1,"1","da",0
"K114-P15",6.7,"5","mf",0
"K114-P15",6.7,"5","da",0
"K114-P17",7.5,"6","mf",0
"K114-P17",7.5,"6","da",0
"K114-P29",4.2,"3","mf",0
"K114-P29",4.2,"3","da",0
"K114-P48",5.2,"4","mf",0
"K114-P48",5.2,"4","da",0
"K114-P49",5.3,"4","mf",0
"K114-P49",5.3,"4","da",1
"K114-P50",5,"3","mf",0
"K114-P50",5,"3","da",0
"K114-P96",4.3,"3","mf",0
"K114-P96",4.3,"3","da",1
"K115-P108",2.4,"1","mf",0
"K115-P108",2.4,"1","da",0
"K115-P21",8.3,"7","mf",0
"K115-P21",8.3,"7","da",0
"K115-P46",4.5,"3","mf",0
"K115-P46",4.5,"3","da",0
"K115-P6",10.4,"8","mf",0
"K115-P6",10.4,"8","da",0
"K115-P62",4.2,"3","mf",0
"K115-P62",4.2,"3","da",0
"K115-P68",3.6,"2","mf",0
"K115-P68",3.6,"2","da",0
"K115-P79",3.6,"2","mf",0
"K115-P79",3.6,"2","da",0
"K115-P95",2.2,"1","mf",0
"K115-P95",2.2,"1","da",0
"K115-P96",2.1,"1","mf",0
"K115-P96",2.1,"1","da",0
"K115-P97",2.1,"1","mf",0
"K115-P97",2.1,"1","da",0
"K116-P113",2.5,"1","mf",0
"K116-P113",2.5,"1","da",0
"K116-P114",3.2,"2","mf",0
"K116-P114",3.2,"2","da",0
"K116-P115",3.2,"2","mf",0
"K116-P115",3.2,"2","da",0
"K116-P120",2.2,"1","mf",0
"K116-P120",2.2,"1","da",0
"K116-P133",2,"1","mf",0
"K116-P133",2,"1","da",0
"K116-P140",6.8,"5","mf",0
"K116-P140",6.8,"5","da",0
"K116-P147",2,"1","mf",0
"K116-P147",2,"1","da",0
"K116-P165",2.1,"1","mf",0
"K116-P165",2.1,"1","da",0
"K116-P216",2.2,"1","mf",0
"K116-P216",2.2,"1","da",0
"K116-P26",4.1,"3","mf",0
"K116-P26",4.1,"3","da",0
"K116-P60",5.3,"4","mf",0
"K116-P60",5.3,"4","da",0
"K116-P83",4.4,"3","mf",0
"K116-P83",4.4,"3","da",0
"K116-P93",3.6,"2","mf",0
"K116-P93",3.6,"2","da",0
"K116-P98",3.4,"2","mf",0
"K116-P98",3.4,"2","da",0
"K117-P101",2.1,"1","mf",0
"K117-P101",2.1,"1","da",0
"K117-P15",6,"4","mf",0
"K117-P15",6,"4","da",0
"K117-P37",6.5,"5","mf",1
"K117-P37",6.5,"5","da",0
"K117-P46",8.9,"7","mf",0
"K117-P46",8.9,"7","da",0
"K117-P53",4.1,"3","mf",0
"K117-P53",4.1,"3","da",0
"K117-P55",4,"3","mf",0
"K117-P55",4,"3","da",0
"K117-P62",3.2,"2","mf",0
"K117-P62",3.2,"2","da",0
"K117-P67",3.1,"2","mf",0
"K117-P67",3.1,"2","da",0
"K117-P70",2.1,"1","mf",0
"K117-P70",2.1,"1","da",0
"K117-P72",2.5,"1","mf",0
"K117-P72",2.5,"1","da",0
"K117-P74",4.5,"3","mf",0
"K117-P74",4.5,"3","da",0
"K117-P77",2.1,"1","mf",0
"K117-P77",2.1,"1","da",0
"K118-P10",7.6,"6","mf",0
"K118-P10",7.6,"6","da",0
"K118-P100",3.2,"2","mf",0
"K118-P100",3.2,"2","da",0
"K118-P108",3,"1","mf",0
"K118-P108",3,"1","da",0
"K118-P111",3.3,"2","mf",0
"K118-P111",3.3,"2","da",0
"K118-P116",3.3,"2","mf",0
"K118-P116",3.3,"2","da",0
"K118-P130",3.1,"2","mf",0
"K118-P130",3.1,"2","da",0
"K118-P140",2.3,"1","mf",0
"K118-P140",2.3,"1","da",0
"K118-P143",2.3,"1","mf",0
"K118-P143",2.3,"1","da",0
"K118-P146",2.2,"1","mf",0
"K118-P146",2.2,"1","da",0
"K118-P152",2.3,"1","mf",0
"K118-P152",2.3,"1","da",0
"K118-P159",2,"1","mf",0
"K118-P159",2,"1","da",0
"K118-P37",5.8,"4","mf",0
"K118-P37",5.8,"4","da",0
"K118-P59",5.1,"4","mf",0
"K118-P59",5.1,"4","da",0
"K118-P65",2.1,"1","mf",0
"K118-P65",2.1,"1","da",0
"K118-P76",4.5,"3","mf",0
"K118-P76",4.5,"3","da",0
"K118-P93",4.1,"3","mf",0
"K118-P93",4.1,"3","da",0
"K118-P94",3.2,"2","mf",0
"K118-P94",3.2,"2","da",0
"K119-P12",6,"5","mf",0
"K119-P12",6,"5","da",0
"K119-P26",5,"3","mf",0
"K119-P26",5,"3","da",0
"K119-P32",4.8,"3","mf",0
"K119-P32",4.8,"3","da",0
"K119-P43",7.3,"5","mf",0
"K119-P43",7.3,"5","da",0
"K119-P64",3.7,"2","mf",0
"K119-P64",3.7,"2","da",0
"K119-P74",3.5,"2","mf",0
"K119-P74",3.5,"2","da",0
"K119-P81",2.5,"1","mf",0
"K119-P81",2.5,"1","da",0
"K11-P105",6.6,"5","mf",0
"K11-P105",6.6,"5","da",0
"K11-P106",6.1,"5","mf",0
"K11-P106",6.1,"5","da",0
"K11-P12",3.9,"2","mf",0
"K11-P12",3.9,"2","da",0
"K11-P124",3.7,"2","mf",0
"K11-P124",3.7,"2","da",0
"K11-P136",3.7,"2","mf",0
"K11-P136",3.7,"2","da",0
"K11-P144",3.4,"2","mf",0
"K11-P144",3.4,"2","da",0
"K11-P147",3.3,"2","mf",0
"K11-P147",3.3,"2","da",0
"K11-P152",3.2,"2","mf",0
